|6.6.6
foL_1373-2273-10
           2
 T(K)
   1373.15000000000
   10.0000000000000
          91
 P(bar)
   1.00000000000000
   1.00000000000000
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv
  1873.150       1.000000      -2476726.      -1665469.       69.06503       433.0979       269.4000       4.984078      0.4584348E-03  0.1699061E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1883.150       1.000000      -2481065.      -1662775.       68.81861       434.5323       269.4000       4.988665      0.4588566E-03  0.1703185E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1893.150       1.000000      -2485417.      -1660081.       68.57519       435.9591       269.4000       4.993257      0.4592789E-03  0.1707323E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1903.150       1.000000      -2489784.      -1657387.       68.33471       437.3784       269.4000       4.997853      0.4597015E-03  0.1711475E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1913.150       1.000000      -2494165.      -1654693.       68.09713       438.7903       269.4000       5.002453      0.4601245E-03  0.1715641E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1923.150       1.000000      -2498560.      -1651999.       67.86241       440.1947       269.4000       5.007057      0.4605478E-03  0.1719820E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1933.150       1.000000      -2502969.      -1649305.       67.63050       441.5919       269.4000       5.011666      0.4609716E-03  0.1724015E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1943.150       1.000000      -2507391.      -1646611.       67.40134       442.9819       269.4000       5.016279      0.4613958E-03  0.1728223E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1953.150       1.000000      -2511828.      -1643917.       67.17491       444.3648       269.4000       5.020896      0.4618203E-03  0.1732445E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1963.150       1.000000      -2516279.      -1641223.       66.95114       445.7406       269.4000       5.025517      0.4622453E-03  0.1736682E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1973.150       1.000000      -2520743.      -1638529.       66.73001       447.1094       269.4000       5.030143      0.4626706E-03  0.1740934E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1983.150       1.000000      -2525221.      -1635835.       66.51147       448.4713       269.4000       5.034772      0.4630963E-03  0.1745200E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1993.150       1.000000      -2529712.      -1633141.       66.29548       449.8263       269.4000       5.039407      0.4635225E-03  0.1749480E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2003.150       1.000000      -2534217.      -1630447.       66.08199       451.1745       269.4000       5.044045      0.4639490E-03  0.1753775E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2013.150       1.000000      -2538736.      -1627753.       65.87098       452.5161       269.4000       5.048688      0.4643759E-03  0.1758084E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2023.150       1.000000      -2543268.      -1625059.       65.66240       453.8510       269.4000       5.053334      0.4648032E-03  0.1762409E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2033.150       1.000000      -2547813.      -1622365.       65.45621       455.1793       269.4000       5.057986      0.4652308E-03  0.1766748E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2043.150       1.000000      -2552371.      -1619671.       65.25238       456.5011       269.4000       5.062641      0.4656589E-03  0.1771102E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2053.150       1.000000      -2556943.      -1616977.       65.05086       457.8164       269.4000       5.067301      0.4660874E-03  0.1775471E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2063.150       1.000000      -2561528.      -1614283.       64.85164       459.1253       269.4000       5.071965      0.4665163E-03  0.1779855E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2073.150       1.000000      -2566125.      -1611589.       64.65467       460.4280       269.4000       5.076633      0.4669455E-03  0.1784254E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2083.150       1.000000      -2570736.      -1608895.       64.45991       461.7243       269.4000       5.081306      0.4673752E-03  0.1788669E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2093.150       1.000000      -2575360.      -1606201.       64.26734       463.0144       269.4000       5.085983      0.4678052E-03  0.1793098E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2103.150       1.000000      -2579996.      -1603507.       64.07691       464.2984       269.4000       5.090664      0.4682357E-03  0.1797543E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2113.150       1.000000      -2584646.      -1600813.       63.88861       465.5763       269.4000       5.095350      0.4686665E-03  0.1802003E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
